stage_sample,Helper T cells,Naïve T cells,NK cells,CD8+ T cells,Exhausted T cells,Regulator T cells,CD4+ T cells,stage
III&IV_2018jz16,21.773399014778324,2.6108374384236455,10.295566502463053,15.0,7.413793103448276,8.793103448275861,2.832512315270936,III&IV
III&IV_2018jz27,17.604355716878402,3.266787658802178,18.148820326678766,8.348457350272232,11.91772534785239,9.86085904416213,3.508771929824561,III&IV
III&IV_2018jz37,3.617363344051447,2.0632368703108255,1.8756698821007503,2.9742765273311895,2.840300107181136,4.314040728831726,1.795284030010718,III&IV
III&IV_2018jz38,8.394758394758394,1.4332514332514332,6.347256347256347,5.569205569205569,10.4013104013104,7.084357084357085,1.4332514332514332,III&IV
III&IV_P1,0.22569117923641152,16.400225691179237,0.018807598269700958,0.16926838442730863,0.9968027082941509,0.1880759826970096,0.6018431446304306,III&IV
III&IV_P10,0.6684491978609626,20.828877005347593,0.32085561497326204,0.34759358288770054,3.3957219251336896,0.48128342245989303,3.663101604278075,III&IV
III&IV_P14,0.0,19.192477876106196,0.0,0.0,1.1061946902654867,0.05530973451327434,2.599557522123894,III&IV
III&IV_P15,1.1647254575707155,7.570715474209651,0.027731558513588463,0.2218524681087077,1.8857459789240156,0.05546311702717693,13.089295618413756,III&IV
III&IV_P17,0.735632183908046,25.942528735632184,0.12643678160919541,0.16091954022988506,0.896551724137931,0.034482758620689655,4.459770114942529,III&IV
III&IV_P18,1.448400724200362,9.2033796016898,0.3621001810500905,0.12070006035003017,4.586602293301147,0.3621001810500905,11.225105612552806,III&IV
III&IV_P19,0.44150110375275936,0.44150110375275936,1.3245033112582782,0.0,0.0,0.22075055187637968,9.050772626931566,III&IV
III&IV_P22,2.1739130434782608,0.7763975155279503,2.950310559006211,1.2422360248447204,4.813664596273292,4.3478260869565215,19.875776397515526,III&IV
III&IV_P23,0.2932551319648094,14.243820695433598,0.08378718056137412,0.16757436112274823,2.387934645999162,0.20946795140343527,4.105571847507331,III&IV
III&IV_P25,2.655745842640854,12.137006701414743,0.19856043683296104,0.4467609828741623,4.070488955075701,0.0,17.22511789525937,III&IV
III&IV_P26,4.035087719298246,1.4035087719298245,0.17543859649122806,0.3508771929824561,0.5263157894736842,1.4035087719298245,14.035087719298245,III&IV
III&IV_P27,1.9801980198019802,1.8387553041018387,0.0,0.2828854314002829,0.5657708628005658,2.545968882602546,5.233380480905233,III&IV
